,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
510,A lot,Isaiah Rashad,205539,0,1,4,0.023,0.775,0.6,1.85e-05,0.125,-8.792,0.0857,0.544,148.032,47,spotify:track:0CsMyYqXKbdznGEXSjSroo
511,AA,Isaiah Rashad,210061,3,0,4,0.0261,0.73,0.512,0.0,0.333,-10.408,0.0469,0.513,96.002,51,spotify:track:66UI237YMw6AL6S72FGKND
512,Dressed Like Rappers,Isaiah Rashad,206321,6,0,4,0.187,0.416,0.52,1.76e-06,0.594,-12.628,0.476,0.486,78.794,49,spotify:track:5oO0BgiNJzi3Q13uIvizqN
513,Don't Matter,Isaiah Rashad,176982,11,0,4,0.00841,0.735,0.86,0.0412,0.752,-10.474,0.151,0.76,148.081,43,spotify:track:5v1QJxlh7mkNsq7fsUf5wV
514,Brenda,Isaiah Rashad,250358,10,0,4,0.0741,0.592,0.512,2.48e-05,0.262,-8.963,0.458,0.564,85.988,46,spotify:track:1YnhmaHKpNEroXiGqc3BLT
515,Find a Topic (homies begged),Isaiah Rashad,166688,7,1,4,0.00274,0.91,0.567,5.29e-05,0.498,-5.208,0.0987,0.545,130.999,49,spotify:track:17JA4HlieSH7TY3pQk21MJ
516,Villuminati,J. Cole,307867,11,0,4,0.0493,0.657,0.836,0.00366,0.367,-6.075,0.196,0.049,107.352,54,spotify:track:3YjQfsV7vIDj0eovuUlbK7
517,Land of the Snakes,J. Cole,254453,2,1,4,0.23,0.772,0.729,0.0,0.257,-7.808,0.292,0.475,104.031,61,spotify:track:4cvUik0BhfRXJyEGtTYuut
518,Power Trip,J. Cole,241160,1,1,4,0.322,0.667,0.61,0.000203,0.426,-7.054,0.217,0.465,99.991,72,spotify:track:7FOJvA3PxiIU0DN3JjQ7jT
519,Trouble,J. Cole,258400,11,0,4,0.174,0.74,0.474,8.31e-06,0.153,-8.708,0.0622,0.0818,107.454,56,spotify:track:4pqiLICe0uTHb9WfY02ek9
520,Rich Niggaz,J. Cole,276093,8,0,4,0.472,0.586,0.717,0.00236,0.104,-8.543,0.197,0.306,125.007,63,spotify:track:0QpYkajexWrB0P3TWvkHlm
521,Let Nas Down,J. Cole,277200,9,0,4,0.0256,0.458,0.74,0.0,0.296,-5.65,0.245,0.37,79.255,56,spotify:track:26RcjBcThMrZ8KvsqApOvN
522,Born Sinner,J. Cole,209360,5,0,4,0.301,0.556,0.908,0.0,0.129,-4.759,0.245,0.715,158.151,59,spotify:track:2wQVmS0j4xcSbEK8CLEgwz
523,New York Times,J. Cole,271813,8,1,4,0.291,0.365,0.655,0.00037,0.164,-6.957,0.311,0.31,171.333,56,spotify:track:5u89YD9CJMFVfFqUoeGy2P
524,Niggaz Know,J. Cole,217240,10,0,4,0.0334,0.709,0.687,1.7e-06,0.103,-7.394,0.174,0.327,138.046,54,spotify:track:7ncDwhSTgCZuL3OZNkvZ97
525,Zion Wolf Theme - Unfinished,Jai Paul,187613,11,0,4,0.376,0.46,0.662,0.0298,0.118,-9.814,0.548,0.547,174.036,45,spotify:track:6KQB9mDc4gNT5mEebiKq7R
526,Desert River - Unfinished,Jai Paul,185480,8,0,4,0.0526,0.777,0.673,0.00812,0.345,-5.786,0.32,0.921,95.005,36,spotify:track:4l2A8J0FGTsuoJpZ9vcbVr
527,BTSTU - Demo,Jai Paul,210880,1,1,4,0.753,0.655,0.3,0.0476,0.104,-8.029,0.253,0.526,89.963,41,spotify:track:3NC3JSXNEqmtANsRihHFov
528,The Story of O.J.,JAY-Z,231760,7,1,4,0.283,0.741,0.718,2.21e-06,0.23,-5.823,0.415,0.576,165.848,67,spotify:track:6JpN5w95em8SODPiM7W2PH
529,Caught Their Eyes,JAY-Z,206133,1,1,4,0.166,0.813,0.837,0.0,0.0835,-6.356,0.298,0.744,84.965,59,spotify:track:71oM9w2BbJxzTpxzWIE0lw
530,4:44,JAY-Z,284493,9,1,4,0.139,0.261,0.852,4.26e-05,0.477,-4.965,0.158,0.431,177.997,64,spotify:track:1gT5TGwbkkkUliNzHRIGi1
531,Marcy Me,JAY-Z,174427,10,1,4,0.542,0.518,0.678,0.0,0.108,-6.76,0.331,0.604,81.951,58,spotify:track:5oynsOy80DnodTslgaj3cr
532,Encore,JAY-Z,250973,10,0,1,0.285,0.382,0.92,0.00125,0.973,-1.149,0.259,0.525,98.907,52,spotify:track:1GzNGrxi4NIOKu0Z4npUss
533,99 Problems,JAY-Z,234627,6,0,4,0.00661,0.494,0.887,0.0,0.103,-4.297,0.398,0.548,89.554,60,spotify:track:7sLpSWxQazJzDVG6YGzlVs
534,Can't Knock The Hustle,JAY-Z,317800,7,1,4,0.197,0.78,0.378,0.0,0.0782,-11.481,0.464,0.579,94.895,55,spotify:track:05Iawel3maRW3mSHYmXxMZ
535,Brooklyn's Finest,JAY-Z,275640,6,1,4,0.135,0.495,0.715,1.04e-06,0.0748,-8.855,0.497,0.742,189.876,54,spotify:track:68WCiBa9dfDU5PBhTl6MYe
536,Dead Presidents II,JAY-Z,266067,0,0,4,0.172,0.758,0.912,1.09e-06,0.149,-8.758,0.349,0.573,87.335,57,spotify:track:3nDYsXggRQxf7PCNUjR4rz
537,22 Two's,JAY-Z,208973,7,1,4,0.656,0.665,0.879,0.0,0.634,-7.007,0.311,0.447,92.015,46,spotify:track:4AKGxJq7lp5CT08pA7PDxF
538,No Church In The Wild,JAY-Z,272507,8,0,4,0.246,0.654,0.751,0.0179,0.167,-7.508,0.105,0.568,92.781,70,spotify:track:3Osd3Yf8K73aj4ySn6LrvK
539,Ni**as In Paris,JAY-Z,219333,1,1,4,0.127,0.788,0.859,0.0,0.348,-5.542,0.315,0.769,140.027,77,spotify:track:4Li2WHPkuyCdtmokzW2007
540,Otis,JAY-Z,178213,7,0,4,0.552,0.755,0.631,0.0,0.5,-4.751,0.302,0.433,94.571,68,spotify:track:6vegnfDS8DAEaCqWaPYGPy
541,Gotta Have It,JAY-Z,140747,4,1,4,0.411,0.74,0.574,0.0,0.262,-6.938,0.245,0.33,149.762,64,spotify:track:5Pt83OUaK3K9C2if4C5JOk
542,New Day,JAY-Z,272853,10,0,4,0.389,0.561,0.645,7.05e-05,0.142,-6.809,0.0705,0.359,91.005,58,spotify:track:3SIgBSv9D8Nm3CvP0o0Q9Z
543,Welcome To The Jungle,JAY-Z,174133,2,1,4,0.0128,0.636,0.93,3.7e-06,0.18,-5.179,0.364,0.325,92.899,55,spotify:track:6N43Qgg9jx21vfMkTYvSi3
544,Primetime,JAY-Z,199240,11,0,4,0.166,0.662,0.923,9.64e-06,0.31,-4.085,0.21,0.469,84.99,55,spotify:track:5zes2uxTNuqNlO6toDTZN5
545,Summer Knights,Joey Bada$$,116051,5,0,4,0.513,0.485,0.596,1.56e-05,0.239,-7.734,0.11,0.458,92.513,46,spotify:track:2NDXdxZjbm5EbbEEDSKXQV
546,Waves,Joey Bada$$,211631,8,0,4,0.223,0.733,0.912,0.0,0.206,-3.239,0.223,0.888,89.947,54,spotify:track:3AM2ihc5RFzbC47eCpTg2I
547,FromdaTomb$,Joey Bada$$,204866,10,0,4,0.195,0.59,0.916,0.0,0.153,-4.541,0.323,0.548,92.457,49,spotify:track:18Y3zi59zjRVUEjUhdApSX
548,Survival Tactics,Joey Bada$$,202785,1,1,4,0.428,0.53,0.843,0.0,0.164,-2.271,0.39,0.919,199.946,60,spotify:track:4pNT8XTKWb2vhcsqwzdXCT
549,Killuminati,Joey Bada$$,153740,11,0,4,0.435,0.607,0.838,0.0,0.113,-3.064,0.141,0.877,87.15,52,spotify:track:2PxwwqB4f9x72jbw6AgR1s
550,Hardknock,Joey Bada$$,318375,7,0,4,0.0892,0.639,0.894,0.0,0.881,-2.047,0.272,0.535,81.97,52,spotify:track:3QbsrWxq3JyNov94VzbNdB
551,World Domination,Joey Bada$$,162761,1,1,4,0.174,0.451,0.943,0.455,0.151,-1.598,0.273,0.911,79.394,52,spotify:track:1W4qc7UnAuRmT93W8Ad1t1
552,Pennyroyal,Joey Bada$$,169796,11,0,4,0.0577,0.748,0.834,0.0,0.102,-2.272,0.112,0.918,93.485,47,spotify:track:2miKV8OiAhmZPjhCzgRnvw
553,Funky Ho'$,Joey Bada$$,269357,0,0,3,0.482,0.686,0.692,0.0,0.169,-5.573,0.323,0.649,173.78,48,spotify:track:1rZvU5sb2E8LuJTAqEdAiw
554,Daily Routine,Joey Bada$$,177960,1,1,4,0.261,0.665,0.531,1.97e-06,0.111,-8.577,0.298,0.539,81.343,48,spotify:track:7fMG4HNSKzBFKthjmeW8LU
555,Snakes,Joey Bada$$,259439,1,1,4,0.823,0.529,0.669,0.0,0.11,-4.653,0.337,0.797,82.147,50,spotify:track:3dkLUA4zs07CnhchRuRV6J
556,Don't Front,Joey Bada$$,261670,2,1,4,0.381,0.613,0.808,0.0,0.262,-6.078,0.248,0.736,94.51,46,spotify:track:24TUPoKOVqKT1hZHV63FUV
557,Righteous Minds,Joey Bada$$,224043,8,0,4,0.262,0.809,0.638,0.0,0.453,-5.646,0.28,0.608,94.893,53,spotify:track:7dFGkZbmm6cVlI28bfMaWE
558,Where It'$ At?,Joey Bada$$,248838,10,0,4,0.82,0.723,0.661,0.0,0.102,-5.292,0.423,0.859,80.351,45,spotify:track:4rkfCWtPe63QU1HXsVTcpc
559,Third Eye Sh*t,Joey Bada$$,706612,2,0,3,0.62,0.612,0.665,0.0,0.104,-5.998,0.412,0.722,128.945,46,spotify:track:046k0tkM8kI1D1UbmSsIsW
560,Paper Trail$,Joey Bada$$,194739,1,0,4,0.339,0.548,0.829,0.0,0.537,-4.103,0.285,0.452,93.62,58,spotify:track:7g8rz7xe0G4Go0tTZAXcOx
561,Big Dusty,Joey Bada$$,293361,8,1,4,0.443,0.521,0.77,0.0,0.204,-5.204,0.495,0.421,81.05,42,spotify:track:3eRu1vN9EBHm9DqzYpjCp3
562,Belly of the Beast,Joey Bada$$,236518,8,1,4,0.251,0.563,0.692,0.0,0.493,-9.542,0.356,0.549,89.229,39,spotify:track:21TBEahS1NHc27b71sVA62
563,Christ Conscious,Joey Bada$$,173793,4,1,4,0.0131,0.649,0.717,3.26e-05,0.18,-5.021,0.262,0.589,86.798,55,spotify:track:1vGgH0JBvC7d25JBO7oo6c
564,Curry Chicken,Joey Bada$$,213330,9,1,4,0.302,0.711,0.793,0.0,0.855,-5.123,0.0777,0.374,140.04,39,spotify:track:0x0Qdvk4RtiORXJYhVe9qF
565,Buckets,Juicy J,195067,5,1,4,0.0405,0.904,0.649,0.0,0.075,-6.851,0.331,0.51,149.995,32,spotify:track:0eQEbzc86SUq9kKO4lddub
566,Dodgin' the Snakes,Juicy J,120493,9,1,4,0.0205,0.802,0.669,0.0,0.145,-6.449,0.205,0.747,163.023,33,spotify:track:2E97xvE0tq7YUhWvVMFtSn
567,Smokin' Rollin',Juicy J,156507,7,1,4,0.0139,0.811,0.57,6.36e-05,0.271,-8.763,0.233,0.283,135.998,44,spotify:track:1EsVik35lWObbJbalNTluZ
568,Smoke A Nigga,Juicy J,257827,4,0,4,0.0572,0.825,0.636,1.07e-06,0.248,-6.418,0.229,0.142,149.99,43,spotify:track:2POYNDk7TriuNJUWRHouDQ
569,One of Those Nights,Juicy J,256027,5,0,4,0.0315,0.75,0.589,1.95e-06,0.0959,-6.934,0.0348,0.0812,130.029,55,spotify:track:6Jc69KjFo9QNailcyDJh2I
570,Say You Will,Kanye West,377600,0,0,4,0.542,0.603,0.401,0.225,0.103,-10.155,0.0306,0.347,172.633,56,spotify:track:5e5MKPtJuFb8NaeSEyV5gD
571,Welcome To Heartbreak,Kanye West,262933,7,0,4,0.0985,0.677,0.435,0.721,0.111,-11.024,0.033,0.0729,95.991,60,spotify:track:3F18I7LhWKxlf1PytSoTBH
572,Amazing,Kanye West,238333,8,1,4,0.216,0.588,0.554,0.118,0.0619,-8.406,0.0545,0.496,146.133,66,spotify:track:0m3Ze0cy8qBHSsV2exAfCw
573,Heartless,Kanye West,211000,10,0,4,0.0515,0.79,0.647,0.0,0.248,-5.983,0.136,0.654,87.999,76,spotify:track:4EWCNWgDS8707fNSZ1oaA5
574,Love Lockdown,Kanye West,270307,1,0,4,0.0542,0.76,0.524,0.5,0.112,-7.67,0.0323,0.112,119.603,68,spotify:track:1kxeWHF9PrCVZHvVskv8lg
575,Paranoid,Kanye West,277907,6,1,4,0.114,0.587,0.611,9.83e-05,0.0765,-7.408,0.106,0.464,114.991,61,spotify:track:0w2piYWj1F2bzUftzGJgK9
576,See You In My Nightmares,Kanye West,258120,7,0,4,0.0626,0.676,0.432,0.0,0.103,-8.035,0.0339,0.156,124.597,55,spotify:track:5zuoz1NBnpoHK6g5sbEH8F
577,We Don't Care,Kanye West,239880,11,0,4,0.0142,0.595,0.754,0.0,0.247,-5.827,0.181,0.647,83.155,58,spotify:track:0IW0qaeyxL5Et4UG2MrJKB
578,Graduation Day,Kanye West,81787,0,0,4,0.684,0.418,0.447,2.1e-06,0.414,-9.058,0.338,0.869,169.336,50,spotify:track:7wL7Lb8Q3aYyq6gmRL0PZq
579,All Falls Down,Kanye West,223507,8,0,4,0.149,0.657,0.734,0.0,0.139,-4.832,0.484,0.434,91.03,71,spotify:track:5SkRLpaGtvYPhw02vZhQQ9
580,Jesus Walks,Kanye West,193733,3,0,4,0.614,0.637,0.834,0.0,0.317,-4.686,0.323,0.715,87.312,70,spotify:track:5g1vtHqi9uV7xtYeCcFOBx
